Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >::difference_type __gnu_cxx::operator-<Path*, std::vector<Path, std::allocator<Path> > >(__gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > > const&, __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > > const&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge const&)
  0.00      0.00     0.00        4     0.00     0.00  Path::Path(Path const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Status>::new_allocator(__gnu_cxx::new_allocator<Status> const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Path> >::max_size(std::allocator<Path> const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Status> >::_S_select_on_copy(std::allocator<Status> const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > >::difference_type __gnu_cxx::operator-<Status*, std::vector<Status, std::allocator<Status> > >(__gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > > const&, __gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator+(long) const
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >::operator-(long) const
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Path, std::allocator<Path> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Path, std::allocator<Path> >::max_size() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Status, std::allocator<Status> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Status, std::allocator<Status> >::capacity() const
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<Status>::allocator(std::allocator<Status> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_Vector_impl::_Vector_impl(std::allocator<Status> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_Vector_base(unsigned long, std::allocator<Status> const&)
  0.00      0.00     0.00        4     0.00     0.00  Path* std::__uninitialized_copy<false>::__uninit_copy<Path*, Path*>(Path*, Path*, Path*)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Path, std::allocator<Path> >::back()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Status, std::allocator<Status> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > >, Status const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Status, std::allocator<Status> >::vector(std::vector<Status, std::allocator<Status> > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Status, std::allocator<Status> >::operator=(std::vector<Status, std::allocator<Status> > const&)
  0.00      0.00     0.00        4     0.00     0.00  Path* std::__addressof<Path>(Path&)
  0.00      0.00     0.00        4     0.00     0.00  Path* std::uninitialized_copy<Path*, Path*>(Path*, Path*, Path*)
  0.00      0.00     0.00        4     0.00     0.00  Path* std::__uninitialized_copy_a<Path*, Path*, Path>(Path*, Path*, Path*, std::allocator<Path>&)
